Company,E,S,G,ESG 2019,компания РСПП
Lukoil,6,5,2,1,ПАО «ЛУКОЙЛ»
Tatneft,7,2,14,2,ПАО «Татнефть»
Gazprom,14,3,8,3,ПАО «Газпром»
Norilsk Nickel,18,4,4,4,ПАО «ГМК «Норильский никель»
Rosseti,2,9,10,5,ПАО «Россети»
Russian Railways,5,6,16,6,ОАО «РЖД»
MMK,13,12,9,7,ПАО «ММК» 
"ALROSA, AK",16,8,12,8,АК «АЛРОСА»
Rosneft,10,7,18,9,ПАО «НК «Роснефть»
NOVATEK,3,14,17,10,ПАО «НОВАТЭК»
NLMK Group,15,18,5,11,ПАО «НЛМК»
Inter RAO,25,1,7,12,ПАО «ИНТЕР РАО ЕЭС»
SIBUR Holding,11,13,23,13,ПАО «СИБУР-Холдинг»
Transneft,4,11,26,14,
Aeroflot,1,20,13,15,ПАО «АЭРОФЛОТ»
RUSHYDRO,20,15,15,16,ПАО «РусГидро»
UC RUSAL,12,24,3,17,ОК РУСАЛ
EVRAZ,21,21,1,18,
SEVERSTAL,19,22,11,19,ПАО «Северсталь»
Metalloinvest,17,19,24,20,«МЕТАЛЛОИНВЕСТ»
Surgutneftegaz,9,25,19,21,ОАО «Сургутнефтегаз»
Sakhalin Energy,8,17,29,22,«Сахалин Энерджи»
Rosatom,22,10,27,23,
Siberian Coal Energy Company (SUEK),24,16,25,24,АО «СУЭК»
EuroChem Group,23,26,22,25,АО «МХК «ЕвроХим»
Mechel,26,28,6,26,
United Shipbuilding Corporation,25,23,20,27,
T Plus,26,29,21,28,
United Aircraft Corporation,26,27,28,29,
UMMC,26,29,30,30,